Designator,Mid X,Mid Y,Rotation,Layer
BZ1,138.43,-87.63,270.0,top
BZ2,123.063,-87.757,270.0,top
C1,189.323,-55.76,270.0,top
C2,224.823705,-55.76,90.0,top
D1,202.109599,-82.101,90.0,top
D10,129.475,-47.25,180.0,top
D11,97.248,-67.121,270.0,top
D2,216.01116,-88.474438,45.0,top
D3,222.844599,-102.376,0.0,top
D4,216.215109,-116.48151,315.0,top
D5,202.11,-122.175,270.0,top
D6,188.208037,-116.277561,225.0,top
D7,181.834599,-102.376,180.0,top
D8,188.208037,-88.474438,135.0,top
D9,129.515,-54.0,180.0,top
J1,150.5,-72.125,0.0,top
J2,168.28,-72.125,0.0,top
J3,105.2,-121.75,270.0,top
J4,128.475,-121.6,270.0,top
J5,139.475,-121.6,90.0,top
J6,107.28,-53.7,90.0,top
J7,117.475,-121.6,270.0,top
J8,95.645,-53.7,90.0,top
J9,107.28,-47.1,90.0,top
R1,202.11,-92.48,270.0,top
R10,140.75,-47.25,0.0,top
R11,108.17,-63.881,0.0,top
R12,108.17,-66.929,180.0,top
R13,108.17,-69.977,180.0,top
R14,141.097,-67.437,270.0,top
R15,135.0,-107.188,270.0,top
R16,129.031,-107.122,270.0,top
R17,117.8,-107.042,270.0,top
R18,101.7305,-107.2,270.0,top
R2,208.701701,-95.783897,225.0,top
R3,212.029599,-102.376,180.0,top
R4,208.701701,-108.968102,135.0,top
R5,202.109599,-112.296,90.0,top
R6,195.517496,-108.968102,45.0,top
R7,192.189599,-102.376,0.0,top
R8,195.517496,-95.783897,315.0,top
R9,140.75,-54.0,0.0,top
RN1,186.26,-47.9,0.0,top
RN2,208.8,-47.9,0.0,top
SW1,128.15,-66.6,0.0,top
SW2,95.75,-82.895,0.0,top
SW3,106.75,-82.895,0.0,top
SW4,95.825,-90.805,180.0,top
SW5,106.62,-90.805,180.0,top
SW6,119.5,-51.577,180.0,top
TH1,122.8,-108.317,0.0,top
U1,181.503,-63.385,0.0,top
U2,217.003705,-63.385,0.0,top
U5,200.773705,-63.448696,90.0,top
